年月日,日報酬率 %
2020/08/14,0.2398
2020/08/13,0.9685
2020/08/12,-1.479
2020/08/11,-0.7576
2020/08/10,0.9078
2020/08/07,-0.7116
2020/08/06,1.0547
2020/08/05,0.9681
2020/08/04,1.2745
2020/08/03,-1.7341
2020/07/31,-0.2403
2020/07/30,1.4627
2020/07/29,-1.0135
2020/07/28,0.2904
2020/07/27,4.8731
2020/07/24,-0.3541
2020/07/23,-0.1011
2020/07/22,0.2533
2020/07/21,2.4214
2020/07/20,-0.1543
2020/07/17,1.1446
2020/07/16,-0.9789
2020/07/15,0.4139
2020/07/14,0.6247
2020/07/13,1.4791
2020/07/10,-0.8381
2020/07/09,0.3153
2020/07/08,0.6878
2020/07/07,0.3717
2020/07/06,1.7288
2020/07/03,1.1475
2020/07/02,1.105
2020/07/01,0.6674
2020/06/30,0.8979
2020/06/29,-1
2020/06/24,0.6149
2020/06/23,0.4492
2020/06/22,0.2251
2020/06/19,-0.0562
2020/06/18,-0.1124
2020/06/17,0.1125
2020/06/16,2.1839
2020/06/15,-1.4164
2020/06/12,-0.8984
2020/06/11,-1.5478
2020/06/10,0.9487
2020/06/09,0.1117
2020/06/08,1.3016
2020/06/05,0.8562
2020/06/04,0.9217
2020/06/03,1.7585
2020/06/02,0.4711
2020/06/01,0.5329
2020/05/29,0.7156
2020/05/28,-0.5928
2020/05/27,-0.1184
2020/05/26,1.1377
2020/05/25,0.6631
2020/05/22,-1.8343
2020/05/21,0.8353
2020/05/20,-0.1192
2020/05/19,0.902
2020/05/18,-0.8348
2020/05/15,0.6603
2020/05/14,-1.1862
2020/05/13,0.2974
2020/05/12,-1.1758
2020/05/11,0.8299
2020/05/08,0.5963
2020/05/07,0.4192
2020/05/06,0.1199
2020/05/05,0.4819
2020/05/04,-2.924
2020/04/30,2.1505
2020/04/29,1.3931
2020/04/28,0
2020/04/27,2.0396
2020/04/24,0
2020/04/23,0.3722
2020/04/22,0
2020/04/21,-2.8916
2020/04/20,-0.3003
2020/04/17,3.0322
2020/04/16,-0.4926
2020/04/15,0.3088
2020/04/14,2.7284
2020/04/13,-0.6305
2020/04/10,0.0631
2020/04/09,-0.4397
2020/04/08,1.4013
2020/04/07,1.8819
2020/04/06,1.5152
2020/04/01,-0.3283
2020/03/31,0.3955
2020/03/30,-0.9791
2020/03/27,-0.7772
2020/03/26,0.4554
2020/03/25,3.5017
2020/03/24,4.8729
2020/03/23,-4.3243
2020/03/20,7.9504
2020/03/19,-5.8379
2020/03/18,-2.7388
2020/03/17,-3.1695
2020/03/16,-4.5679
2020/03/13,-1.3999
2020/03/12,-3.6928
