年月日,日報酬率 %
2022/09/06,0.6173
2022/09/05,0.2062
2022/09/02,-1.1213
2022/09/01,-2.8713
2022/08/31,1.8145
2022/08/30,-0.5015
2022/08/29,-2.6367
2022/08/26,0.7874
2022/08/25,0.994
2022/08/24,-0.1984
2022/08/23,-1.1765
2022/08/22,-1.7341
2022/08/19,-0.1923
2022/08/18,-1.3283
2022/08/17,0.381
2022/08/16,0.3824
2022/08/15,1.1605
2022/08/12,0.5837
2022/08/11,2.8
2022/08/10,-1.9608
2022/08/09,-0.3906
2022/08/08,-0.7752
2022/08/05,3.2
2022/08/04,-0.1996
2022/08/03,1.8293
2022/08/02,-2.381
2022/08/01,-0.9823
2022/07/29,1.5968
2022/07/28,-0.1992
2022/07/27,1.4141
2022/07/26,-0.9009
2022/07/25,-0.6958
2022/07/22,0.3992
2022/07/21,1.2121
2022/07/20,0.8147
2022/07/19,-0.9082
2022/07/18,0.6091
2022/07/15,3.6842
2022/07/14,0.9564
2022/07/13,4.6719
2022/07/12,-2.7056
2022/07/11,-1.0707
2022/07/08,2.0765
2022/07/07,5.0517
2022/07/06,-2.3543
2022/07/05,1.3636
2022/07/04,-2.9768
2022/07/01,-4.7269
2022/06/30,-3.055
2022/06/29,-1.3065
2022/06/28,-0.2006
2022/06/27,2.4666
2022/06/24,0.206
2022/06/23,-1.82
2022/06/22,-2.0792
2022/06/21,1.4056
2022/06/20,-0.5988
2022/06/17,-1.378
2022/06/16,0.3438
2022/06/15,-0.7797
2022/06/14,-0.5814
2022/06/13,-2.6415
2022/06/10,-2.0333
2022/06/09,-0.5515
2022/06/08,1.6822
2022/06/07,-0.9259
2022/06/06,0
2022/06/02,-1.6393
2022/06/01,-1.9643
2022/05/31,2.3766
2022/05/30,3.2075
2022/05/27,3.1128
2022/05/26,-1.9084
2022/05/25,0.7692
2022/05/24,-1.5152
2022/05/23,-0.3774
2022/05/20,1.5326
2022/05/19,-2.974
2022/05/18,1.5094
2022/05/17,1.9231
2022/05/16,1.7613
2022/05/13,1.1881
2022/05/12,-3.071
2022/05/11,0.5792
2022/05/10,-0.3846
2022/05/09,-1.5152
2022/05/06,-2.583
2022/05/05,1.4981
2022/05/04,0.565
2022/05/03,-1.3011
2022/04/29,1.3183
2022/04/28,0.9506
2022/04/27,-3.663
2022/04/26,-0.1828
2022/04/25,-1.9713
2022/04/22,-1.2389
2022/04/21,-0.8772
2022/04/20,0.885
2022/04/19,0.713
2022/04/18,-0.1779
2022/04/15,-1.9197
2022/04/14,0
2022/04/13,2.8725
2022/04/12,-0.1792
2022/04/11,-1.5873
2022/04/08,0.1767
2022/04/07,-2.0761
2022/04/06,-1.8676
2022/04/01,-1.34
2022/03/31,-0.5
2022/03/30,1.8676
2022/03/29,0.8562
2022/03/28,-2.3411
2022/03/25,1.1844
2022/03/24,0.1695
2022/03/23,1.2007
2022/03/22,-0.5119
2022/03/21,0.8606
2022/03/18,-0.1718
2022/03/17,4.3011
2022/03/16,0.4928
2022/03/15,-2.4476
2022/03/14,-0.5217
2022/03/11,-2.0443
2022/03/10,3.3451
2022/03/09,0.8881
2022/03/08,-2.2569
2022/03/07,-3.1933
2022/03/04,-1.1628
2022/03/03,0.1664
2022/03/02,-0.4967
2022/03/01,0
2022/02/25,0
2022/02/24,-3.36
2022/02/23,-0.319
2022/02/22,-0.7911
2022/02/21,-0.7849
2022/02/18,-1.2403
2022/02/17,-0.1548
2022/02/16,2.0537
2022/02/15,-0.6279
2022/02/14,-2
2022/02/11,0.1541
2022/02/10,2.5276
2022/02/09,0.7962
2022/02/08,-1.1024
2022/02/07,-0.1572
2022/01/26,-0.78
2022/01/25,-1.8377
2022/01/24,1.8721
2022/01/21,-1.5361
2022/01/20,-0.4587
2022/01/19,-1.2085
2022/01/18,-3.0747
2022/01/17,1.6369
2022/01/14,1.6641
2022/01/13,0.1515
2022/01/12,1.3825
2022/01/11,1.2442
2022/01/10,1.4196
2022/01/07,-1.5528
2022/01/06,-0.9231
2022/01/05,-0.9146
2022/01/04,3.962
2022/01/03,2.6016
2021/12/30,-0.1623
2021/12/29,0.1626
2021/12/28,1.4851
2021/12/27,0.3311
2021/12/24,-0.33
2021/12/23,1
2021/12/22,0.5025
2021/12/21,-0.1672
2021/12/20,-1.4827
2021/12/17,0.3306
2021/12/16,1.2917
2021/12/15,0.1669
2021/12/14,-0.3328
2021/12/13,-0.6612
2021/12/10,-0.4934
2021/12/09,0.9967
2021/12/08,-0.8237
2021/12/07,1.1667
2021/12/06,-1.3158
2021/12/03,-1.1382
2021/12/02,2.5
2021/12/01,0.6711
2021/11/30,0.5059
2021/11/29,-0.5034
2021/11/26,-1.1609
2021/11/25,0
2021/11/24,-1.4706
2021/11/23,-0.4878
2021/11/22,-0.4854
2021/11/19,0.8157
2021/11/18,0.4918
2021/11/17,0
2021/11/16,0.3289
2021/11/15,0.6623
2021/11/12,-0.33
2021/11/11,-0.9804
2021/11/10,0.1637
